Cadena,Audiencia,Fecha
telecinco,"13,8%",2020-03-27
antena3,"12,1%",2020-03-27
la1,"9,3%",2020-03-27
lasexta,"8,6%",2020-03-27
cuatro,"5,2%",2020-03-27
la2,"2,4%",2020-03-27
13tv,"2,4%",2020-03-27
fdf,"2,4%",2020-03-27
nova,"2,3%",2020-03-27
energy,"2,1%",2020-03-27
neox,"2,0%",2020-03-27
paramountchannel,"1,9%",2020-03-27
clan,"1,8%",2020-03-27
discoverymax,"1,7%",2020-03-27
canal24horas,"1,6%",2020-03-27
atreseries,"1,4%",2020-03-27
mega-espana,"1,3%",2020-03-27
divinity,"1,3%",2020-03-27
dkiss,"1,1%",2020-03-27
boing,"1,0%",2020-03-27
disney-channel,"0,8%",2020-03-27
bemadtv,"0,5%",2020-03-27
gol-television,"0,4%",2020-03-27
ten,"0,4%",2020-03-27
teledeporte,"0,3%",2020-03-27
real-madrid-tv,"0,3%",2020-03-27
